Date,Previous Settlement
2016-07-14,98.03
2016-07-13,98.01
2016-07-12,98.045
2016-07-11,98.09
2016-07-09,98.11
2016-07-08,98.11
2016-07-07,98.125
2016-07-06,98.13
2016-07-05,98.05
2016-07-04,97.985
2016-07-02,98.04
2016-07-01,98.04
2016-06-30,98.01
2016-06-29,97.99
2016-06-28,98.01
2016-06-27,97.94
2016-06-25,97.985
2016-06-24,97.985
2016-06-23,97.735
2016-06-22,97.765
2016-06-21,97.83
2016-06-20,97.85
2016-06-18,97.915
2016-06-17,97.915
2016-06-16,97.985
2016-06-15,97.9175
2016-06-14,97.95
2016-06-13,97.925
2016-06-11,97.8975
2016-06-10,97.8975
2016-06-09,97.9075
2016-06-08,97.85
2016-06-07,97.81
2016-06-06,97.845
2016-06-04,97.77
2016-06-03,97.77
2016-06-02,97.735
2016-06-01,97.71
2016-05-31,97.7
2016-05-30,97.725
2016-05-28,97.745
2016-05-27,97.745
2016-05-26,97.725
2016-05-25,97.695
2016-05-24,97.725
2016-05-23,97.715
2016-05-21,97.7
2016-05-20,97.7
2016-05-19,97.655
2016-05-18,97.715
2016-05-17,97.705
2016-05-16,97.775
2016-05-14,97.73
2016-05-13,97.73
2016-05-12,97.71
2016-05-11,97.705
2016-05-10,97.705
2016-05-09,97.685
2016-05-07,97.715
2016-05-06,97.715
2016-05-05,97.615
2016-05-04,97.575
2016-05-03,97.535
2016-05-02,97.48
2016-04-30,97.485
2016-04-29,97.485
2016-04-28,97.485
2016-04-27,97.39
2016-04-26,97.35
2016-04-25,97.37
2016-04-23,97.37
2016-04-22,97.37
2016-04-21,97.41
2016-04-20,97.48
2016-04-19,97.445
2016-04-18,97.51
2016-04-16,97.445
2016-04-15,97.445
2016-04-14,97.48
2016-04-13,97.485
2016-04-12,97.54
2016-04-11,97.595
2016-04-09,97.6
2016-04-08,97.6
2016-04-07,97.55
2016-04-06,97.57
2016-04-05,97.55
2016-04-04,97.535
2016-04-02,97.475
2016-04-01,97.475
2016-03-31,97.515
2016-03-30,97.505
2016-03-29,97.425
2016-03-28,97.42
2016-03-26,97.42
2016-03-25,97.42
2016-03-24,97.42
2016-03-23,97.35
2016-03-22,97.4
2016-03-21,97.44
2016-03-19,97.45
2016-03-18,97.45
2016-03-17,97.445
2016-03-16,97.365
2016-03-15,97.33
2016-03-14,97.305
2016-03-12,97.3175
2016-03-11,97.3175
2016-03-10,97.405
2016-03-09,97.4425
2016-03-08,97.44
2016-03-07,97.415
2016-03-05,97.445
2016-03-04,97.445
2016-03-03,97.44
2016-03-02,97.54
2016-03-01,97.645
2016-02-29,97.6
2016-02-27,97.615
2016-02-26,97.615
2016-02-25,97.6
2016-02-24,97.6
2016-02-23,97.58
2016-02-22,97.545
2016-02-20,97.57
2016-02-19,97.57
2016-02-18,97.46
2016-02-17,97.515
2016-02-16,97.475
2016-02-15,97.485
2016-02-13,97.585
2016-02-12,97.585
2016-02-11,97.63
2016-02-10,97.6
2016-02-09,97.595
2016-02-08,97.415
2016-02-06,97.455
2016-02-05,97.455
2016-02-04,97.43
2016-02-03,97.48
2016-02-02,97.38
2016-02-01,97.38
2016-01-30,97.365
2016-01-29,97.365
2016-01-28,97.31
2016-01-27,97.325
2016-01-26,97.31
2016-01-25,97.265
2016-01-23,97.27
2016-01-22,97.27
2016-01-21,97.31
2016-01-20,97.345
2016-01-19,97.29
2016-01-18,97.31
2016-01-16,97.31
2016-01-15,97.31
2016-01-14,97.32
2016-01-13,97.24
2016-01-12,97.215
2016-01-11,97.25
2016-01-09,97.22
2016-01-08,97.22
2016-01-07,97.285
2016-01-06,97.23
2016-01-05,97.19
2016-01-04,97.18
2016-01-02,97.115
2016-01-01,97.115
2015-12-31,97.115
2015-12-30,97.19
2015-12-29,97.245
2015-12-28,97.165
2015-12-26,97.165
2015-12-25,97.165
2015-12-24,97.165
2015-12-23,97.155
2015-12-22,97.2
2015-12-21,97.175
2015-12-19,97.17
2015-12-18,97.17
2015-12-17,97.085
2015-12-16,97.065
2015-12-15,97.11
2015-12-14,97.1475
2015-12-12,97.115
2015-12-11,97.115
2015-12-10,97.1175
2015-12-09,97.1525
2015-12-08,97.135
2015-12-07,97.02
2015-12-05,97.02
2015-12-04,97.02
2015-12-03,97.13
2015-12-02,97.17
2015-12-01,97.13
2015-11-30,97.11
2015-11-28,97.125
2015-11-27,97.125
2015-11-26,97.145
2015-11-25,97.095
2015-11-24,97.05
2015-11-23,97.03
2015-11-21,97.065
2015-11-20,97.065
2015-11-19,97.05
2015-11-18,97.075
2015-11-17,97.05
2015-11-16,97.07
2015-11-14,97.01
2015-11-13,97.01
2015-11-12,97.015
2015-11-11,97.1
2015-11-10,97.08
2015-11-09,97.065
2015-11-07,97.18
2015-11-06,97.18
2015-11-05,97.185
2015-11-04,97.24
2015-11-03,97.29
2015-11-02,97.35
2015-10-31,97.36
2015-10-30,97.36
2015-10-29,97.39
2015-10-28,97.395
2015-10-27,97.34
2015-10-24,97.36
2015-10-23,97.36
2015-10-22,97.345
2015-10-21,97.315
2015-10-20,97.355
2015-10-19,97.375
2015-10-17,97.375
2015-10-16,97.375
2015-10-15,97.41
2015-10-14,97.38
2015-10-13,97.31
2015-10-12,97.265
2015-10-10,97.265
2015-10-09,97.265
2015-10-08,97.35
2015-10-07,97.34
2015-10-06,97.365
2015-10-05,97.42
2015-10-03,97.35
2015-10-02,97.35
2015-10-01,97.35
2015-09-30,97.365
2015-09-29,97.385
2015-09-28,97.28
2015-09-26,97.275
2015-09-25,97.275
2015-09-24,97.31
2015-09-23,97.3
2015-09-22,97.215
2015-09-21,97.25
2015-09-19,97.195
2015-09-18,97.195
2015-09-17,97.1
2015-09-16,97.17
2015-09-15,97.29
2015-09-14,97.275
2015-09-12,97.2325
2015-09-11,97.2325
2015-09-10,97.26
2015-09-09,97.2325
2015-09-08,97.305
2015-09-07,97.31
2015-09-05,97.345
2015-09-04,97.345
2015-09-03,97.285
2015-09-02,97.28
2015-09-01,97.33
2015-08-31,97.305
2015-08-29,97.24
2015-08-28,97.24
2015-08-27,97.265
2015-08-26,97.315
2015-08-25,97.375
2015-08-24,97.475
2015-08-22,97.385
2015-08-21,97.385
2015-08-20,97.305
2015-08-19,97.23
2015-08-18,97.23
2015-08-17,97.19
2015-08-15,97.19
2015-08-14,97.19
2015-08-13,97.23
2015-08-12,97.305
2015-08-11,97.19
2015-08-10,97.19
2015-08-08,97.12
2015-08-07,97.12
2015-08-06,97.14
2015-08-05,97.16
2015-08-04,97.23
2015-08-03,97.21
2015-08-01,97.205
2015-07-31,97.205
2015-07-30,97.12
2015-07-29,97.17
2015-07-28,97.205
2015-07-27,97.215
2015-07-25,97.15
2015-07-24,97.15
2015-07-23,97.105
2015-07-22,97.065
2015-07-21,97.025
2015-07-20,97.04
2015-07-18,97.01
2015-07-17,97.01
2015-07-16,96.985
2015-07-15,96.925
2015-07-14,96.935
2015-07-13,96.96
2015-07-11,97.015
2015-07-10,97.015
2015-07-09,97.15
2015-07-08,97.21
2015-07-07,97.05
2015-07-06,97.025
2015-07-04,96.885
2015-07-03,96.885
2015-07-02,96.845
2015-07-01,96.945
2015-06-30,96.95
2015-06-29,97.005
2015-06-27,96.9
2015-06-26,96.9
2015-06-25,96.895
2015-06-24,96.905
2015-06-23,96.89
2015-06-22,97.005
2015-06-20,97.075
2015-06-19,97.075
2015-06-18,97.11
2015-06-17,96.965
2015-06-16,96.95
2015-06-15,96.95
2015-06-13,96.94
2015-06-12,96.99
2015-06-11,96.855
2015-06-10,96.9525
2015-06-09,97.0375
2015-06-08,96.93
2015-06-06,96.965
2015-06-05,96.965
2015-06-04,96.965
2015-06-03,97.11
2015-06-02,97.26
2015-06-01,97.295
2015-05-30,97.275
2015-05-29,97.275
2015-05-28,97.225
2015-05-27,97.165
2015-05-26,97.085
2015-05-25,97.09
2015-05-23,97.085
2015-05-22,97.085
2015-05-21,97.06
2015-05-20,97.03
2015-05-19,97.055
2015-05-18,97.13
2015-05-16,97.105
2015-05-15,97.105
2015-05-14,97.005
2015-05-13,97.045
2015-05-12,96.955
2015-05-11,97.145
2015-05-09,97.16
2015-05-08,97.16
2015-05-07,97.01
2015-05-06,97.075
2015-05-05,97.205
2015-05-04,97.31
2015-05-02,97.32
2015-05-01,97.32
2015-04-30,97.35
2015-04-29,97.405
2015-04-28,97.445
2015-04-27,97.5
2015-04-25,97.47
2015-04-24,97.47
2015-04-23,97.48
2015-04-22,97.565
2015-04-21,97.61
2015-04-20,97.605
2015-04-18,97.65
2015-04-17,97.65
2015-04-16,97.635
2015-04-15,97.72
2015-04-14,97.695
2015-04-13,97.66
2015-04-11,97.635
2015-04-10,97.635
2015-04-09,97.655
2015-04-08,97.67
2015-04-07,97.65
2015-04-06,97.7
2015-04-04,97.7
2015-04-03,97.7
2015-04-02,97.7
2015-04-01,97.665
2015-03-31,97.68
2015-03-30,97.64
2015-03-28,97.595
2015-03-27,97.595
2015-03-26,97.675
2015-03-25,97.68
2015-03-24,97.63
2015-03-23,97.615
2015-03-21,97.62
2015-03-20,97.62
2015-03-19,97.655
2015-03-18,97.55
2015-03-17,97.53
2015-03-16,97.5225
2015-03-14,97.49
2015-03-13,97.49
2015-03-12,97.525
2015-03-11,97.45
2015-03-10,97.365
2015-03-09,97.305
2015-03-07,97.405
2015-03-06,97.405
2015-03-05,97.415
2015-03-04,97.405
2015-03-03,97.49
2015-03-02,97.545
2015-02-28,97.58
2015-02-27,97.58
2015-02-26,97.62
2015-02-25,97.54
2015-02-24,97.495
2015-02-23,97.46
2015-02-21,97.47
2015-02-20,97.47
2015-02-19,97.495
2015-02-18,97.435
2015-02-17,97.485
2015-02-16,97.485
2015-02-14,97.535
2015-02-13,97.535
2015-02-12,97.5
2015-02-11,97.445
2015-02-10,97.48
2015-02-09,97.485
2015-02-07,97.58
2015-02-06,97.58
2015-02-05,97.63
2015-02-04,97.565
2015-02-03,97.75
2015-02-02,97.59
2015-01-31,97.595
2015-01-30,97.595
2015-01-29,97.555
2015-01-28,97.435
2015-01-27,97.475
2015-01-26,97.495
2015-01-24,97.405
2015-01-23,97.405
2015-01-22,97.44
2015-01-21,97.445
2015-01-20,97.375
2015-01-19,97.41
2015-01-17,97.485
2015-01-16,97.485
2015-01-15,97.37
2015-01-14,97.475
2015-01-13,97.435
2015-01-12,97.355
2015-01-10,97.325
2015-01-09,97.325
2015-01-08,97.365
2015-01-07,97.365
2015-01-06,97.335
2015-01-05,97.29
2015-01-03,97.18
2015-01-02,97.18
2015-01-01,97.24
2014-12-31,97.24
2014-12-30,97.22
2014-12-29,97.13
2014-12-27,97.1
2014-12-26,97.1
2014-12-25,97.1
2014-12-24,97.1
2014-12-23,97.145
2014-12-22,97.12
2014-12-20,97.035
2014-12-19,97.035
2014-12-18,97.13
2014-12-17,97.2
2014-12-16,97.12
2014-12-15,97.0925
2014-12-13,97.08
2014-12-12,97.08
2014-12-11,97.115
2014-12-10,97.0475
2014-12-09,96.9475
2014-12-06,96.935
2014-12-05,96.935
2014-12-04,96.905
2014-12-03,96.875
2014-12-02,96.865
2014-12-01,96.98
2014-11-29,96.95
2014-11-28,96.95
2014-11-27,96.87
2014-11-26,96.85
2014-11-25,96.78
2014-11-24,96.725
2014-11-21,96.715
2014-11-20,96.705
2014-11-19,96.705
2014-11-18,96.695
2014-11-17,96.72
2014-11-15,96.645
2014-11-14,96.645
2014-11-13,96.635
2014-11-12,96.64
2014-11-11,96.655
2014-11-10,96.7
2014-11-08,96.625
2014-11-07,96.625
2014-11-06,96.735
2014-11-05,96.695
2014-11-04,96.66
2014-11-03,96.71
2014-11-01,96.695
2014-10-31,96.695
2014-10-30,96.645
2014-10-29,96.685
2014-10-28,96.745
2014-10-24,96.705
2014-10-23,96.72
2014-10-22,96.715
2014-10-21,96.785
2014-10-20,96.67
2014-10-19,96.755
2014-10-17,96.755
2014-10-16,96.785
2014-10-15,96.63
2014-10-14,96.665
2014-10-13,96.675
2014-10-12,96.64
2014-10-11,96.64
2014-10-10,96.64
2014-10-09,96.665
2014-10-08,96.605
2014-10-07,96.575
2014-10-06,96.535
2014-10-05,96.51
2014-10-04,96.51
2014-10-03,96.51
2014-10-02,96.545
2014-10-01,96.48
2014-09-30,96.485
2014-09-28,96.48
2014-09-27,96.48
2014-09-26,96.48
2014-09-25,96.39
2014-09-24,96.355
2014-09-23,96.41
2014-09-22,96.31
2014-09-21,96.235
2014-09-20,96.235
2014-09-19,96.235
2014-09-18,96.26
2014-09-17,96.32
2014-09-16,96.345
2014-09-15,96.4
2014-09-14,96.4
2014-09-13,96.4
2014-09-12,96.4
2014-09-11,96.4
2014-09-10,96.44
2014-09-09,96.445
2014-09-08,96.56
2014-09-07,96.545
2014-09-06,96.545
2014-09-05,96.545
2014-09-04,96.58
2014-09-03,96.58
2014-09-02,96.66
2014-09-01,96.685
2014-08-31,96.715
2014-08-30,96.715
2014-08-29,96.715
2014-08-28,96.685
2014-08-27,96.68
2014-08-26,96.655
2014-08-25,96.575
2014-08-24,96.53
2014-08-23,96.53
2014-08-22,96.53
2014-08-21,96.53
2014-08-20,96.585
2014-08-19,96.605
2014-08-18,96.665
2014-08-17,96.62
2014-08-16,96.62
2014-08-15,96.62
2014-08-14,96.62
2014-08-13,96.555
2014-08-12,96.585
2014-08-11,96.6
2014-08-10,96.725
2014-08-09,96.725
2014-08-08,96.725
2014-08-07,96.585
2014-08-06,96.49
2014-08-05,96.535
2014-08-04,96.485
2014-08-03,96.485
2014-08-02,96.485
2014-08-01,96.485
2014-07-31,96.58
2014-07-30,96.58
2014-07-29,96.535
2014-07-28,96.58
2014-07-27,96.565
2014-07-26,96.565
2014-07-25,96.565
2014-07-24,96.58
2014-07-23,96.595
2014-07-22,96.635
2014-07-21,96.615
2014-07-20,96.63
2014-07-18,96.63
2014-07-17,96.595
2014-07-16,96.58
2014-07-15,96.565
2014-07-14,96.56
2014-07-13,96.585
2014-07-12,96.585
2014-07-11,96.585
2014-07-10,96.53
2014-07-09,96.475
2014-07-08,96.42
2014-07-07,96.4
2014-07-06,96.405
2014-07-05,96.405
2014-07-04,96.405
2014-07-03,96.45
2014-07-02,96.43
2014-07-01,96.405
2014-06-30,96.45
2014-06-29,96.45
2014-06-28,96.45
2014-06-27,96.45
2014-06-26,96.4
2014-06-25,96.4
2014-06-24,96.35
2014-06-23,96.295
2014-06-22,96.31
2014-06-21,96.31
2014-06-20,96.31
2014-06-19,96.325
2014-06-18,96.25
2014-06-17,96.29
2014-06-16,96.22
2014-06-15,96.22
2014-06-14,96.22
2014-06-13,96.22
2014-06-12,96.18
2014-06-11,96.155
2014-06-10,96.215
2014-06-09,96.22
2014-06-08,96.23
2014-06-07,96.23
2014-06-06,96.23
2014-06-05,96.225
2014-06-04,96.285
2014-06-03,96.285
2014-06-02,96.335
2014-06-01,96.35
2014-05-31,96.35
2014-05-30,96.35
2014-05-29,96.365
2014-05-28,96.3
2014-05-27,96.26
2014-05-26,96.265
2014-05-25,96.225
2014-05-24,96.225
2014-05-23,96.225
2014-05-22,96.26
2014-05-21,96.35
2014-05-20,96.295
2014-05-19,96.325
2014-05-18,96.29
2014-05-17,96.29
2014-05-16,96.29
2014-05-15,96.245
2014-05-14,96.2
2014-05-13,96.16
2014-05-12,96.185
2014-05-09,96.185
2014-05-08,96.175
2014-05-07,96.175
2014-05-06,96.14
2014-05-05,96.135
2014-05-04,96.1
2014-05-03,96.1
2014-05-02,96.1
2014-05-01,96.07
2014-04-30,96.06
2014-04-29,96.07
2014-04-28,96.08
2014-04-27,96.065
2014-04-26,96.065
2014-04-25,96.065
2014-04-24,96.045
2014-04-23,96.04
2014-04-22,95.995
2014-04-21,96.04
2014-04-20,96.04
2014-04-19,96.04
2014-04-18,96.04
2014-04-17,96.04
2014-04-16,96.02
2014-04-15,96.005
2014-04-14,96.03
2014-04-13,95.975
2014-04-12,95.975
2014-04-11,95.975
2014-04-10,95.94
2014-04-09,95.925
2014-04-08,95.905
2014-04-07,95.905
2014-04-06,95.83
2014-04-05,95.83
2014-04-04,95.83
2014-04-03,95.805
2014-04-02,95.82
2014-04-01,95.86
2014-03-31,95.91
2014-03-30,95.925
2014-03-28,95.925
2014-03-27,95.91
2014-03-26,95.88
2014-03-25,95.87
2014-03-24,95.82
2014-03-23,95.83
2014-03-22,95.83
2014-03-21,95.83
2014-03-20,95.86
2014-03-19,95.91
2014-03-16,96.005
2014-03-15,96.005
2014-03-14,95.875
